URL vers la page,Siècle,Couleur,Remarques sur la qualité du papier,Autres remarques
https://gallica.bnf.fr/ark:/12148/btv1b53112327k/f52.item,20,couleur,ligné,
https://gallica.bnf.fr/ark:/12148/btv1b53112327k/f52.item,20,couleur,ligné,
https://gallica.bnf.fr/ark:/12148/btv1b52507597h/f4.item,17,couleur,"vergé, blanc",
https://gallica.bnf.fr/ark:/12148/btv1b52507597h/f32.item,17,couleur,"vergé, blanc",
https://gallica.bnf.fr/ark:/12148/btv1b525057373/f112.item,17,couleur,"vergé, léger bleed-through",
https://gallica.bnf.fr/ark:/12148/btv1b525057373/f10.item,17,couleur,"blanc, page de garde",
https://gallica.bnf.fr/ark:/12148/btv1b10023857j/f232.item,16,couleur,blanc,
https://gallica.bnf.fr/ark:/12148/btv1b10023857j/f82.item,16,couleur,blanc,
https://gallica.bnf.fr/ark:/12148/btv1b52510705j/f10.item,16,couleur,blanc,
https://gallica.bnf.fr/ark:/12148/btv1b52510705j/f46.item#,16,couleur,blanc,
https://gallica.bnf.fr/ark:/12148/btv1b52509569v/f193.item,17,couleur,troué,
https://gallica.bnf.fr/ark:/12148/btv1b52509569v/f242.item#,17,couleur,léger bleed-through,
https://gallica.bnf.fr/ark:/12148/btv1b52509569v/f363.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b105278863/f54.item,18,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b105278863/f68.item,18,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b10500003c/f8.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b10500003c/f737.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b8470204b/f10.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b8470204b/f118.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b52506825h/f9.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b52506825h/f10.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b525097757/f256.item#,17,couleur,bleed-through,
https://gallica.bnf.fr/ark:/12148/btv1b525097757/f435.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b53048805g/f2.item,18,couleur,"léger bleed-through, ligné",
https://gallica.bnf.fr/ark:/12148/btv1b10015048x/f2.item,18,couleur,bleed-through,
https://gallica.bnf.fr/ark:/12148/btv1b9060129s/f55.item,16,microfilm,,
https://gallica.bnf.fr/ark:/12148/btv1b9060129s/f99.item,16,microfilm,num de page,
https://gallica.bnf.fr/ark:/12148/btv1b100238563/f7.item,17,couleur,page de garde,
https://gallica.bnf.fr/ark:/12148/btv1b100238563/f263.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k992216s/f5.item,17,couleur,page de garde,
https://gallica.bnf.fr/ark:/12148/bpt6k9782240j/f10.item,18,couleur,"vergé, taches",
https://gallica.bnf.fr/ark:/12148/bpt6k9782240j/f630.item,18,couleur,"vergé, taches",
https://gallica.bnf.fr/ark:/12148/bd6t5368418v/f18.item,20,couleur,,
https://gallica.bnf.fr/ark:/12148/bd6t5368418v/f266.item,20,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k9686155n/f8.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k9686155n/f10.item#,19,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b525056400/f74.item#,20,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b525056400/f60.item,20,couleur,"réglé, num de page",
https://gallica.bnf.fr/ark:/12148/btv1b525056400/f59.item,20,couleur,"réglé, num de page",
https://gallica.bnf.fr/ark:/12148/btv1b525086547/f14.item,20,couleur,réglé,
https://gallica.bnf.fr/ark:/12148/btv1b525086547/f19.item#,20,couleur,"réglé, num de page",
https://gallica.bnf.fr/ark:/12148/btv1b100891499/f21.item,19,microfilm,"double page, num de page",
https://gallica.bnf.fr/ark:/12148/btv1b100901609/f14.item,19,microfilm,réglé,
https://gallica.bnf.fr/ark:/12148/btv1b10022126v/f27.item,20,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b10022126v/f139.item,20,couleur,,
